bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
27000,10,10,50,0.928666667,3.036047
27000,10,10,100,0.932166667,5.900106
27000,10,15,10,0.922166667,0.967875
27000,10,15,20,0.938666667,1.857776
27000,10,15,30,0.943666667,2.778439
27000,10,15,40,0.947166667,3.283094
27000,10,15,50,0.949333333,3.966397
27000,10,15,100,0.953833333,7.934566
27000,10,20,10,0.930833333,0.980084
27000,10,20,20,0.946833333,1.839394
27000,10,20,30,0.949833333,2.647307
27000,10,20,40,0.952333333,3.457
27000,10,20,50,0.955166667,4.296105
27000,10,20,100,0.958333333,8.464328
27000,10,25,10,0.9275,0.97414
27000,10,25,20,0.944833333,1.770695
27000,10,25,30,0.951,2.523124
27000,10,25,40,0.954166667,3.3421
27000,10,25,50,0.955833333,4.064054
27000,10,25,100,0.958833333,7.970591
27000,20,5,10,0.803166667,0.561499
27000,20,5,20,0.829333333,0.965419
27000,20,5,30,0.839,1.381318
27000,20,5,40,0.84,1.834378
27000,20,5,50,0.841333333,2.244974
27000,20,5,100,0.851,4.459877
27000,20,10,10,0.911666667,1.33834
27000,20,10,20,0.927666667,2.282511
27000,20,10,30,0.9335,3.147223
27000,20,10,40,0.938333333,4.451934
27000,20,10,50,0.940666667,5.35345
27000,20,10,100,0.939833333,10.846381
27000,20,15,10,0.927,1.574835
27000,20,15,20,0.943833333,2.805725
27000,20,15,30,0.950666667,4.197377
27000,20,15,40,0.9535,5.475165
27000,20,15,50,0.956666667,7.100001
27000,20,15,100,0.958166667,14.332276
27000,20,20,10,0.932,1.648453
27000,20,20,20,0.949,3.093332
27000,20,20,30,0.9535,4.555955
27000,20,20,40,0.955666667,5.895219
27000,20,20,50,0.956666667,7.679228
27000,20,20,100,0.960833333,15.266666
27000,20,25,10,0.9325,1.540852
27000,20,25,20,0.949333333,2.931282
27000,20,25,30,0.954833333,4.501883
27000,20,25,40,0.956666667,5.79502
27000,20,25,50,0.9585,7.238485
27000,20,25,100,0.9625,14.260122
27000,30,5,10,0.806666667,0.7705
27000,30,5,20,0.833,1.48807
27000,30,5,30,0.839,1.971315
27000,30,5,40,0.839666667,2.626036
27000,30,5,50,0.843333333,3.171896
27000,30,5,100,0.846166667,6.157151
27000,30,10,10,0.920833333,1.639816
27000,30,10,20,0.933666667,3.232564
27000,30,10,30,0.936166667,4.478988
27000,30,10,40,0.9365,6.036986
27000,30,10,50,0.939,7.458039
27000,30,10,100,0.942,14.915071
27000,30,15,10,0.936333333,2.098656
27000,30,15,20,0.952333333,4.060078
27000,30,15,30,0.954666667,6.395336
27000,30,15,40,0.9575,7.93763
27000,30,15,50,0.959,9.747454
27000,30,15,100,0.963166667,19.707638
27000,30,20,10,0.9385,2.333916
27000,30,20,20,0.955,5.203824
27000,30,20,30,0.957,6.532875
27000,30,20,40,0.960333333,8.398537
27000,30,20,50,0.960833333,9.768106
27000,30,20,100,0.9645,19.263235
27000,30,25,10,0.933666667,2.367813
27000,30,25,20,0.953666667,4.269651
27000,30,25,30,0.959,6.265439
27000,30,25,40,0.960333333,8.312045
27000,30,25,50,0.9605,10.426364
27000,30,25,100,0.963833333,21.710571
27000,40,5,10,0.815,0.910579
27000,40,5,20,0.834333333,1.669012
27000,40,5,30,0.837666667,2.559966
27000,40,5,40,0.84,3.461661
27000,40,5,50,0.844166667,3.959593
27000,40,5,100,0.850333333,8.139707
27000,40,10,10,0.923833333,2.033162
27000,40,10,20,0.935166667,4.011133
27000,40,10,30,0.9405,5.836968
27000,40,10,40,0.942166667,7.708
27000,40,10,50,0.941333333,10.026202
27000,40,10,100,0.9445,19.339682
27000,40,15,10,0.937833333,2.76709
27000,40,15,20,0.948833333,5.388104
27000,40,15,30,0.952833333,8.135072
27000,40,15,40,0.953833333,10.656105
27000,40,15,50,0.956333333,12.809882
27000,40,15,100,0.961666667,25.154024
27000,40,20,10,0.945666667,2.700118
27000,40,20,20,0.957333333,5.198728
27000,40,20,30,0.959333333,7.866931
27000,40,20,40,0.961166667,10.800717
27000,40,20,50,0.961166667,14.892502
27000,40,20,100,0.962833333,26.20816
27000,40,25,10,0.942166667,3.089659
27000,40,25,20,0.952,5.753406
27000,40,25,30,0.9595,9.345466
27000,40,25,40,0.9625,11.848213
27000,40,25,50,0.962,14.478734
27000,40,25,100,0.9635,27.429157
27000,50,5,10,0.798,1.211876
27000,50,5,20,0.824166667,2.242779
27000,50,5,30,0.8325,3.194197
27000,50,5,40,0.838333333,4.227558
27000,50,5,50,0.839166667,5.27294
27000,50,5,100,0.846166667,10.154638
27000,50,10,10,0.9255,2.383575
