bootstrap_size;no_features;max_depth;no_trees;Accuracy;Seed set
13500;20;25;30;0,854166667;1
13500;20;25;40;0,869166667;1
13500;20;25;50;0,872;1
13500;20;25;100;0,902333333;1
13500;20;35;10;0,741;0
13500;20;35;20;0,821;0
13500;20;35;30;0,856833333;0
13500;20;35;40;0,878666667;0
13500;20;35;50;0,880833333;0
13500;20;45;10;0,769833333;0
13500;20;45;20;0,836166667;0
13500;20;45;30;0,838333333;0
13500;20;45;40;0,877333333;0
13500;20;45;50;0,8995;0
13500;20;55;10;0,784333333;0
13500;20;55;20;0,819333333;0
13500;20;55;30;0,859;0
13500;20;55;40;0,8795;0
13500;20;55;50;0,889666667;0
13500;30;5;10;0,733833333;1
13500;30;5;20;0,784833333;1
13500;30;5;30;0,792;1
13500;30;5;40;0,805833333;1
13500;30;5;50;0,813166667;1
13500;30;5;100;0,830166667;1
13500;30;10;10;0,8345;1
13500;30;10;20;0,882666667;1
13500;30;10;30;0,900666667;1
13500;30;10;40;0,907166667;1
13500;30;10;50;0,909166667;1
13500;30;10;100;0,918333333;1
13500;30;15;10;0,831;1
13500;30;15;20;0,886166667;1
13500;30;15;30;0,908166667;1
13500;30;15;40;0,9175;1
13500;30;15;50;0,918666667;1
13500;30;15;100;0,935166667;1
13500;30;20;10;0,822666667;1
13500;30;20;20;0,887833333;1
13500;30;20;30;0,911333333;1
13500;30;20;40;0,9195;1
13500;30;20;50;0,921333333;1
13500;30;20;100;0,9375;1
13500;30;25;10;0,823;1
13500;30;25;20;0,8875;1
13500;30;25;30;0,911;1
13500;30;25;40;0,919833333;1
13500;30;25;50;0,9225;1
13500;30;25;100;0,936833333;1
13500;40;5;10;0,740666667;1
13500;40;5;20;0,792833333;1
13500;40;5;30;0,801666667;1
13500;40;5;40;0,8205;1
13500;40;5;50;0,8275;1
13500;40;5;100;0,85;1
13500;40;10;10;0,869333333;1
13500;40;10;20;0,902833333;1
13500;40;10;30;0,916833333;1
13500;40;10;40;0,9245;1
13500;40;10;50;0,9265;1
13500;40;10;100;0,9365;1
13500;40;15;10;0,8845;1
13500;40;15;20;0,914;1
13500;40;15;30;0,9305;1
13500;40;15;40;0,936333333;1
13500;40;15;50;0,9395;1
13500;40;15;100;0,947166667;1
13500;40;20;10;0,882833333;1
13500;40;20;20;0,913833333;1
13500;40;20;30;0,930166667;1
13500;40;20;40;0,936333333;1
13500;40;20;50;0,9405;1
13500;40;20;100;0,947666667;1
13500;40;25;10;0,8835;1
13500;40;25;20;0,9145;1
13500;40;25;30;0,9305;1
13500;40;25;40;0,936666667;1
13500;40;25;50;0,940333333;1
13500;40;25;100;0,948;1
13500;40;35;10;0,8875;0
13500;40;35;20;0,923666667;0
13500;40;35;30;0,936;0
13500;50;5;10;0,759333333;1
13500;50;5;20;0,797;1
13500;50;5;30;0,8115;1
13500;50;5;40;0,824166667;1
13500;50;5;50;0,8325;1
13500;50;5;100;0,853666667;1
13500;50;10;10;0,887666667;1
13500;50;10;20;0,9155;1
13500;50;10;30;0,926833333;1
13500;50;10;40;0,930666667;1
13500;50;10;50;0,935333333;1
13500;50;10;100;0,9405;1
13500;50;15;10;0,8965;1
13500;50;15;20;0,929;1
13500;50;15;30;0,940333333;1
13500;50;15;40;0,945;1
13500;50;15;50;0,946;1
13500;50;15;100;0,9535;1
13500;50;20;10;0,894833333;1
13500;50;20;20;0,929;1
13500;50;20;30;0,940333333;1
13500;50;20;40;0,946166667;1
13500;50;20;50;0,946666667;1
13500;50;20;100;0,954666667;1
13500;50;25;10;0,8945;1
13500;50;25;20;0,928333333;1
13500;50;25;30;0,940666667;1
13500;50;25;40;0,946166667;1
13500;50;25;50;0,9465;1
13500;50;25;100;0,954833333;1
13500;50;25;150;0,9565;1
13500;50;25;200;0,958833333;1
13500;100;5;10;0,7935;1
13500;100;5;20;0,820833333;1
13500;100;5;30;0,828333333;1
13500;100;5;40;0,8345;1
13500;100;5;50;0,839833333;1
13500;100;5;100;0,849;1
13500;100;10;10;0,915666667;1
13500;100;10;20;0,937;1
13500;100;10;30;0,944333333;1
13500;100;10;40;0,945833333;1
13500;100;10;50;0,950833333;1
13500;100;10;100;0,953166667;1
13500;100;15;10;0,926;1
13500;100;15;20;0,947333333;1
13500;100;15;30;0,954666667;1
13500;100;15;40;0,9575;1
13500;100;15;50;0,958833333;1
13500;100;15;100;0,961333333;1
13500;100;20;10;0,926666667;1
13500;100;20;20;0,947;1
13500;100;20;30;0,955333333;1
13500;100;20;40;0,957666667;1
13500;100;20;50;0,9585;1
13500;100;20;100;0,962166667;1
13500;100;25;10;0,926666667;1
13500;100;25;20;0,947;1
13500;100;25;30;0,955333333;1
13500;100;25;40;0,957666667;1
13500;100;25;50;0,958666667;1
13500;100;25;100;0,962166667;1
13500;100;25;150;0,962666667;1
