,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
163,13500.0,20.0,20.0,20.0,0.8073333333333333,388.823948
164,13500.0,20.0,20.0,30.0,0.8513333333333334,381.712969
165,13500.0,20.0,20.0,40.0,0.8688333333333333,361.127033
166,13500.0,20.0,20.0,50.0,0.8726666666666667,317.011038
167,13500.0,20.0,20.0,100.0,0.901,1856.310617
168,5400.0,30.0,20.0,10.0,0.8211666666666667,217.545096
169,5400.0,30.0,20.0,20.0,0.8648333333333333,190.214202
170,5400.0,30.0,20.0,30.0,0.8885,215.757877
171,5400.0,30.0,20.0,40.0,0.9005,207.675496
172,5400.0,30.0,20.0,50.0,0.9126666666666666,217.231208
173,5400.0,30.0,20.0,100.0,0.9256666666666666,1156.422398
174,13500.0,30.0,20.0,10.0,0.8226666666666667,662.034529
175,13500.0,30.0,20.0,20.0,0.8878333333333334,707.751566
176,13500.0,30.0,20.0,30.0,0.9113333333333333,718.846609
177,13500.0,30.0,20.0,40.0,0.9195,654.364423
178,13500.0,30.0,20.0,50.0,0.9213333333333333,557.335203
179,13500.0,30.0,20.0,100.0,0.9375,3228.103253
180,5400.0,40.0,20.0,10.0,0.864,329.235339
181,5400.0,40.0,20.0,20.0,0.9018333333333334,289.79384
182,5400.0,40.0,20.0,30.0,0.915,308.701786
183,5400.0,40.0,20.0,40.0,0.9225,308.977526
184,5400.0,40.0,20.0,50.0,0.9295,314.965509
185,5400.0,40.0,20.0,100.0,0.9393333333333334,1605.457614
186,13500.0,40.0,20.0,10.0,0.8828333333333334,1008.823531
187,13500.0,40.0,20.0,20.0,0.9138333333333334,1060.99498
188,13500.0,40.0,20.0,30.0,0.9301666666666667,1059.998645
189,13500.0,40.0,20.0,40.0,0.9363333333333334,1009.507701
190,13500.0,40.0,20.0,50.0,0.9405,927.183906
191,13500.0,40.0,20.0,100.0,0.9476666666666667,5186.480854
192,5400.0,50.0,20.0,10.0,0.881,463.245879
193,5400.0,50.0,20.0,20.0,0.9198333333333333,409.777899
194,5400.0,50.0,20.0,30.0,0.9311666666666667,432.724028
195,5400.0,50.0,20.0,40.0,0.9365,421.047753
196,5400.0,50.0,20.0,50.0,0.942,436.591177
197,5400.0,50.0,20.0,100.0,0.9468333333333333,2196.416877
198,13500.0,50.0,20.0,10.0,0.8948333333333334,1400.554702
199,13500.0,50.0,20.0,20.0,0.929,1488.211233
200,13500.0,50.0,20.0,30.0,0.9403333333333334,1496.099134
201,13500.0,50.0,20.0,40.0,0.9461666666666667,1393.076705
202,13500.0,50.0,20.0,50.0,0.9466666666666667,1344.005963
